DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2022-Q4,258.43,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2023-Q1,268.81,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2023-Q2,271.54,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2023-Q3,272.63,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2023-Q4,277.19,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2024-Q1,300.99,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2024-Q2,306.94,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Hungary,2024-Q3,309.11,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2022-Q2,161.89,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2022-Q3,166.47,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2022-Q4,168.41,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2023-Q1,167.16,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2023-Q2,166.30,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2023-Q3,168.79,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2023-Q4,173.69,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2024-Q1,177.70,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2024-Q2,180.34,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Ireland,2024-Q3,185.55,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2022-Q2,108.10,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2022-Q3,106.90,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2022-Q4,106.80,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2023-Q1,106.80,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2023-Q2,108.80,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2023-Q3,108.70,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2023-Q4,108.70,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2024-Q1,108.50,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2024-Q2,112.00,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Italy,2024-Q3,112.90,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2022-Q2,193.91,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2022-Q3,199.70,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2022-Q4,203.46,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2023-Q1,207.18,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2023-Q2,212.05,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2023-Q3,217.15,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2023-Q4,220.40,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2024-Q1,227.70,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2024-Q2,234.01,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Lithuania,2024-Q3,236.40,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2022-Q2,188.40,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2022-Q3,192.30,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2022-Q4,189.35,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2023-Q1,181.20,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2023-Q2,177.25,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2023-Q3,165.52,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2023-Q4,161.96,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2024-Q1,160.90,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2024-Q2,162.41,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Luxembourg,2024-Q3,162.77,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2022-Q2,185.56,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2022-Q3,187.79,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2022-Q4,186.61,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2023-Q1,186.40,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2023-Q2,195.54,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2023-Q3,193.46,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2023-Q4,188.14,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2024-Q1,193.14,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2024-Q2,196.94,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Latvia,2024-Q3,203.86,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2022-Q2,144.63,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2022-Q3,146.23,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2022-Q4,147.24,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2023-Q1,149.89,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2023-Q2,152.24,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2023-Q3,154.51,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2023-Q4,157.05,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2024-Q1,159.98,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2024-Q2,162.74,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Malta,2024-Q3,165.22,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2022-Q2,188.58,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2022-Q3,189.95,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2022-Q4,185.89,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2023-Q1,183.14,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2023-Q2,180.92,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2023-Q3,182.91,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2023-Q4,186.07,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2024-Q1,189.87,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2024-Q2,194.81,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Netherlands,2024-Q3,201.80,p,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2022-Q2,163.50,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2022-Q3,167.38,,
ESTAT:TIPSHO40(1.0),10/01/25 11:00:00,Quarterly,"Quarterly index, 2015=100",Poland,2022-Q4,169.64,,
