Distrito;year;Renta neta media por persona;Menores de 16;ESPECIE CANINA;ESPECIE FELINA;precio €/m2 vivienda venta
19. Vicálvaro;2021;13849;13130;5335;1634;2413
19. Vicálvaro;2022;14832;13495;5410;1913;2708
20. San Blas-Canillejas;2015;13171;25643;13067;2188;2043
20. San Blas-Canillejas;2016;13404;25611;13508;3170;2098
20. San Blas-Canillejas;2017;13559;25281;14206;3572;2425
20. San Blas-Canillejas;2018;14100;24933;14202;4433;2485
20. San Blas-Canillejas;2019;14545;24569;14228;5064;2468
20. San Blas-Canillejas;2020;14537;24186;14473;5189;2558
20. San Blas-Canillejas;2021;15115;23211;14538;5401;2596
20. San Blas-Canillejas;2022;15902;22186;14585;5996;2776
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
